audio_id,ori_seg_Coherence_mean,ori_seg_Coherence_std,user_seg_Coherence_mean,user_seg_Coherence_std,ori_full_Coherence,user_full_Coherence,ori_seg_Musicality_mean,ori_seg_Musicality_std,user_seg_Musicality_mean,user_seg_Musicality_std,ori_full_Musicality,user_full_Musicality,ori_seg_Memorability_mean,ori_seg_Memorability_std,user_seg_Memorability_mean,user_seg_Memorability_std,ori_full_Memorability,user_full_Memorability,ori_seg_Clarity_mean,ori_seg_Clarity_std,user_seg_Clarity_mean,user_seg_Clarity_std,ori_full_Clarity,user_full_Clarity,ori_seg_Naturalness_mean,ori_seg_Naturalness_std,user_seg_Naturalness_mean,user_seg_Naturalness_std,ori_full_Naturalness,user_full_Naturalness
349863791,2.4787,0.2273,3.1973,0.4229,1.9887,3.0687,2.7001,0.2115,3.3766,0.3884,2.0739,2.8602,2.4938,0.2296,3.2544,0.4128,1.7756,2.5577,2.5358,0.2279,3.2503,0.3925,1.9429,2.8171,2.5226,0.2035,3.0811,0.343,1.9872,2.6189
356135513,2.3949,0.2478,3.254,0.3196,1.821,2.8902,2.5342,0.2451,3.4017,0.2582,1.9259,2.7826,2.3607,0.2578,3.2251,0.306,1.69,2.6277,2.3917,0.234,3.2275,0.2766,1.7011,2.7082,2.4251,0.2384,3.1199,0.2353,1.7811,2.6262
361459183,2.4498,0.3186,2.598,0.3531,2.1087,2.4182,2.6223,0.3415,2.776,0.3225,2.0783,2.419,2.4783,0.3284,2.6058,0.3308,1.9298,2.129,2.4146,0.3072,2.5732,0.2998,1.9468,2.2051,2.4116,0.3047,2.5079,0.3406,2.0346,2.2224
352427023,2.5842,0.233,3.3886,0.3176,2.0275,3.2,2.7865,0.2719,3.513,0.3546,2.0846,3.0806,2.5868,0.2794,3.4618,0.3546,1.7993,2.9358,2.5643,0.2669,3.3402,0.335,1.8868,2.9955,2.5995,0.2407,3.2869,0.3057,2.0745,2.9482
350316583,2.377,0.2047,2.7372,0.2611,1.9782,2.4821,2.5366,0.2171,2.8616,0.2357,2.1099,2.4989,2.3711,0.2246,2.7388,0.2322,1.8861,2.289,2.3471,0.2159,2.8243,0.2408,1.8706,2.3901,2.3842,0.1973,2.8735,0.2146,1.8978,2.6182
359823110,2.5105,0.2272,2.9172,0.2676,1.9958,2.826,2.6489,0.2396,3.0082,0.3159,1.9663,2.7378,2.4883,0.2519,3.0115,0.3094,1.8331,2.7911,2.4845,0.2379,2.8945,0.2732,1.8513,2.8335,2.4687,0.2016,2.8508,0.267,1.8501,2.7912
364065804,2.5842,0.233,3.4456,0.3062,2.0275,3.2429,2.7865,0.2719,3.5553,0.3847,2.0846,2.9982,2.5868,0.2794,3.469,0.3494,1.7993,2.9026,2.5643,0.2669,3.4307,0.3144,1.8868,3.0734,2.5995,0.2407,3.3555,0.2966,2.0745,3.0342
341857734,2.1272,0.1782,2.8898,0.2918,1.8714,3.0278,2.2759,0.1887,3.0749,0.3139,1.8773,2.8812,2.0943,0.2023,3.0283,0.3514,1.6812,2.8122,2.1537,0.1994,2.989,0.3051,1.7614,2.8759,2.1961,0.1993,2.9111,0.3083,1.8952,2.8666
340337915,2.377,0.2047,2.5529,0.2316,1.9782,2.4049,2.5366,0.2171,2.6932,0.2468,2.1099,2.4704,2.3711,0.2246,2.5449,0.2561,1.8861,2.3672,2.3471,0.2159,2.5648,0.248,1.8706,2.3466,2.3842,0.1973,2.5775,0.2216,1.8978,2.4333
349560120,2.3949,0.2478,3.259,0.2759,1.821,3.5023,2.5342,0.2451,3.2839,0.2761,1.9259,3.2206,2.3607,0.2578,3.1776,0.2839,1.69,3.1689,2.3917,0.234,3.1888,0.2841,1.7011,3.3713,2.4251,0.2384,3.0788,0.265,1.7811,3.2386
342480040,2.5842,0.233,2.8999,0.2529,2.0275,2.547,2.7865,0.2719,3.0993,0.2772,2.0846,2.4964,2.5868,0.2794,2.9953,0.2697,1.7993,2.3758,2.5643,0.2669,2.9903,0.2627,1.8868,2.4849,2.5995,0.2407,2.8917,0.2231,2.0745,2.497
357613066,2.4787,0.2273,2.994,0.3514,1.9887,2.9626,2.7001,0.2115,3.1856,0.3432,2.0739,2.8878,2.4938,0.2296,3.0744,0.3636,1.7756,2.8195,2.5358,0.2279,3.177,0.3461,1.9429,3.0694,2.5226,0.2035,2.9934,0.3277,1.9872,2.821
348731078,2.4649,0.3283,2.8001,0.3082,2.3224,2.4326,2.6253,0.2743,3.0138,0.293,2.2407,2.4759,2.4665,0.2793,2.7961,0.2946,2.1274,2.1635,2.4592,0.266,2.8271,0.2885,2.1248,2.4122,2.474,0.2881,2.7601,0.3021,2.3328,2.4156
